J0040-7336,[HFP2000] 530,SMC B0039-7353,00:40:55.0,-73:36:54
J0047-7308A,SNR B0044-73.4,[HFP2000] 414,00:47:09.2,-73:08:17
J0047-7308B,SNR B0045-73.4,IKT 2,00:47:33.6,-73:08:16
J0047-7308C,[BMD2010] SNR J0047.7-7310,DEM S32,00:47:43.9,-73:08:22
J0048-7318,IKT 4,[BMD2010] SNR J0048.4-7319,00:48:26.2,-73:18:51
J0049-7314,IKT 5,SNR B0047-73.5,00:49:07.7,-73:14:02
J0051-7321,IKT 6,SNR B0049-73.6,00:51:12.1,-73:21:59
J0052-7237,SNR B0050-72.8,DEM S68,00:52:43.0,-72:37:06
J0056-7208,[HSB2012c] XMMU J0056.5-7208,XMMU J0056.5-7208,00:56:30.2,-72:08:12
J0058-7217,IKT 16,SNR B0056-72.5,00:58:18.4,-72:17:22
J0059-7210,IKT 18,"[BMD2010] SNR J0059.4-7210 ",00:59:25.7,-72:10:11
J0100-7132,DEM S 108,SNR B0058-71.8,01:00:17.5,-71:32:49
J0103-7209,IKT 21,SNR 0101-72.4,01:03:14.0,-72:09:15
J0103-7247,[HFP2000] 334,[BMD2010] SNR J0103.5-7247,01:03:29.2,-72:47:23
J0104-7201,IKT 22,SNR B0102-72.3,01:04:01.2,-72:01:52
J0105-7223,IKT 23,SNR B0103-72.6,01:05:01.2,-72:23:06
J0105-7208,DEM S128,SNR B0104-72.2,01:05:21.6,-72:08:42
J0106-7205,IKT 25,SNR B0104-72.3,01:06:19.5,-72:05:28
J0127-7332,MCSNR J0127-7332,SXP 1062,01:27:46.0,-73:32:56
